equipment_category,equipment_type,manufacturer,part_number,unit_cost_usd,criticality,supply_constrained
Cooling Systems,CRAH unit,Vertiv,VER-CS-2964,240602.0,high,True
Cooling Systems,CRAH unit,Motivair,MOT-CS-4265,147777.0,high,True
Cooling Systems,CRAH unit,Boyd,BOY-CS-3924,138294.0,high,True
UPS Systems,1.2MW modular UPS,Vertiv,VER-US-6447,118627.0,high,False
UPS Systems,1.2MW modular UPS,Eaton,EAT-US-7485,242843.0,high,False
UPS Systems,1.2MW modular UPS,Schneider Electric,SCH-US-2391,329184.0,high,False
UPS Systems,Static UPS 750kVA,Vertiv,VER-US-3785,417727.0,high,False
UPS Systems,Static UPS 750kVA,Eaton,EAT-US-1451,139880.0,high,False
UPS Systems,Static UPS 750kVA,Schneider Electric,SCH-US-8624,356146.0,high,False
UPS Systems,Lithium-ion battery cabinet,Vertiv,VER-US-3394,291819.0,high,False
UPS Systems,Lithium-ion battery cabinet,Eaton,EAT-US-8771,306899.0,high,False
UPS Systems,Lithium-ion battery cabinet,Schneider Electric,SCH-US-6741,141451.0,high,False
Power Distribution Units,Overhead busway 1600A,Vertiv,VER-PDU-9983,10686.0,medium,False
Power Distribution Units,Overhead busway 1600A,Schneider Electric,SCH-PDU-1233,52460.0,medium,False
Power Distribution Units,Overhead busway 1600A,Raritan,RAR-PDU-2683,35411.0,medium,False
Power Distribution Units,Floor PDU 400kVA,Vertiv,VER-PDU-3281,29613.0,medium,False
Power Distribution Units,Floor PDU 400kVA,Schneider Electric,SCH-PDU-4191,54135.0,medium,False
Power Distribution Units,Floor PDU 400kVA,Raritan,RAR-PDU-4457,4250.0,medium,False
Power Distribution Units,Rack PDU metered,Vertiv,VER-PDU-4486,20810.0,medium,False
Power Distribution Units,Rack PDU metered,Schneider Electric,SCH-PDU-4940,50230.0,medium,False
Power Distribution Units,Rack PDU metered,Raritan,RAR-PDU-6341,18710.0,medium,False
Storage Systems,All-flash storage array,Pure Storage,PUR-SS-7865,455336.0,high,False
Storage Systems,All-flash storage array,VAST Data,VAS-SS-1997,484907.0,high,False
Storage Systems,All-flash storage array,Dell,DEL-SS-6796,480105.0,high,False
Storage Systems,Object storage cluster node,Pure Storage,PUR-SS-9466,294045.0,high,False
Storage Systems,Object storage cluster node,VAST Data,VAS-SS-9219,180998.0,high,False
Storage Systems,Object storage cluster node,Dell,DEL-SS-3487,334168.0,high,False
Storage Systems,NVMe expansion shelf,Pure Storage,PUR-SS-1306,470394.0,high,False
Storage Systems,NVMe expansion shelf,VAST Data,VAS-SS-4000,367336.0,high,False
Storage Systems,NVMe expansion shelf,Dell,DEL-SS-3454,197215.0,high,False
Racks,48U server rack,Rittal,RIT-R-8757,10001.0,low,False
Racks,48U server rack,Vertiv,VER-R-2971,9343.0,low,False
Racks,48U server rack,Legrand,LEG-R-6340,10664.0,low,False
Racks,Seismic rack enclosure,Rittal,RIT-R-9695,9332.0,low,False
Racks,Seismic rack enclosure,Vertiv,VER-R-2738,12774.0,low,False
Racks,Seismic rack enclosure,Legrand,LEG-R-1930,6109.0,low,False
Racks,Cable management kit,Rittal,RIT-R-5537,3943.0,low,False
Racks,Cable management kit,Vertiv,VER-R-2601,8831.0,low,False
Racks,Cable management kit,Legrand,LEG-R-1456,11480.0,low,False
Backup Generators,3MW diesel genset,Caterpillar,CAT-BG-2038,1448385.0,critical,True
Backup Generators,3MW diesel genset,Cummins,CUM-BG-9282,1668286.0,critical,True
Backup Generators,3MW diesel genset,MTU,MTU-BG-4267,1785187.0,critical,True
Backup Generators,2.5MW gas genset,Caterpillar,CAT-BG-8411,1536011.0,critical,True
Backup Generators,2.5MW gas genset,Cummins,CUM-BG-8832,1535465.0,critical,True
Backup Generators,2.5MW gas genset,MTU,MTU-BG-5057,1793944.0,critical,True
Backup Generators,Day tank & controls package,Caterpillar,CAT-BG-5253,2095759.0,critical,True
Backup Generators,Day tank & controls package,Cummins,CUM-BG-4319,1984000.0,critical,True
Backup Generators,Day tank & controls package,MTU,MTU-BG-3246,1412460.0,critical,True
