purchase_order_id,purchase_order_date,supplier_id,supplier_name,equipment_category,equipment_type,manufacturer,part_number,order_quantity,unit_cost,total_order_value,currency,procurement_status,buyer,contract_type,production_start_date,supplier_committed_date,original_eta,current_eta,actual_delivery_date,required_on_site_date,shipment_status,shipping_mode,origin_country,destination_country,destination_site,freight_forwarder,customs_status,incoterm,warehouse_receipt_status,tracking_update_date,planned_lead_time_days,current_expected_lead_time_days,actual_lead_time_days,delay_days,supplier_capacity_utilization,supplier_on_time_delivery_rate,historical_supplier_delay_rate,equipment_criticality,alternative_supplier_available,inventory_buffer_days,deployment_dependency,data_center_site,planned_compute_capacity_mw,planned_gpu_capacity,project_phase,required_capacity_date,installation_start_date,_true_arrival,lead_time_variance,supply_concentration,missed_required_date
PO-1420,2025-10-04,SUP-010,Siemens Energy,Transformers,34.5kV pad-mount transformer,ABB,ABB-T-9236,2,849993.67,1699987.34,USD,In Production,M. Delgado,Capacity Reservation,2025-10-24,2026-11-14,2026-11-14,2027-01-14,,2026-10-28,Not Shipped,Ocean,South Korea,Singapore,SIN-07,DB Schenker,Pending,EXW,Pending,2026-07-11,406,467.0,,61.0,0.935,0.55,0.466,critical,False,12,High,SIN-07,60,40000,Phase 2 expansion,2027-04-14,2026-11-13,2027-02-06,45.1,0.424,1
PO-1421,2026-04-01,SUP-D01,WWT,GPU Servers,4U 8-GPU air-cooled server,Foxconn Industrial,FOX-GS-6957,32,282215.13,9030884.16,USD,Delivered,J. Marsh,Master Supply Agreement,2026-04-07,2026-07-08,2026-07-08,2026-07-08,2026-07-08,2026-08-04,Delivered,Air,Taiwan,United States,DFW-03,Kuehne+Nagel,Cleared,DAP,Received,2026-07-11,98,98.0,98.0,0.0,0.674,0.686,0.352,critical,False,14,High,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-07-08,26.2,0.274,0
PO-1422,2026-01-09,SUP-D01,WWT,Storage Systems,All-flash storage array,Pure Storage,PUR-SS-7865,5,466525.61,2332628.05,USD,Delivered,L. Tran,Master Supply Agreement,2026-01-20,2026-04-11,2026-04-11,2026-04-08,2026-04-08,2027-03-25,Delivered,Truck,United States,United States,SLC-08,Kuehne+Nagel,Not required,DDP,Received,2026-07-12,92,89.0,89.0,-3.0,0.674,0.686,0.352,high,True,23,Medium,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-04-08,26.2,0.213,0
PO-1423,2026-02-27,SUP-016,Motivair,Cooling Systems,Rear-door heat exchanger,Motivair,MOT-CS-6636,7,223922.04,1567454.28,USD,In Production,M. Delgado,Spot PO,2026-03-05,2026-08-10,2026-08-10,2026-10-31,,2026-09-10,Not Shipped,Air,United States,United States,RIC-05,DB Schenker,Not required,EXW,Pending,2026-07-15,164,246.0,,82.0,0.956,0.55,0.485,high,True,29,Medium,RIC-05,90,60000,Phase 3 expansion,2026-12-14,2026-09-14,2026-11-11,25.9,0.355,1
PO-1424,2025-10-25,SUP-026,Cummins,Backup Generators,3MW diesel genset,Caterpillar,CAT-BG-2038,1,1489839.06,1489839.06,USD,In Production,A. Whitfield,Spot PO,2025-11-05,2026-09-13,2026-09-13,2027-02-02,,2026-10-23,Not Shipped,Truck,United States,Singapore,SIN-07,Expeditors,Not required,CIF,Pending,2026-07-15,323,465.0,,142.0,0.879,0.55,0.462,critical,False,19,High,SIN-07,60,40000,Phase 2 expansion,2027-04-14,2026-11-13,2027-03-11,40.6,0.264,1
PO-1425,2025-07-17,SUP-022,VAST Data,Storage Systems,Object storage cluster node,Pure Storage,PUR-SS-9466,11,281108.27,3092190.97,USD,Delivered,L. Tran,Spot PO,2025-07-25,2025-10-12,2025-10-12,2025-10-10,2025-10-10,2026-12-12,Delivered,Air,United States,Ireland,DUB-06,Expeditors,Not required,DAP,Received,2026-07-15,87,85.0,85.0,-2.0,0.619,0.679,0.34,high,False,23,Medium,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2025-10-10,11.3,0.22,0
PO-1426,2026-01-03,SUP-017,Boyd,Cooling Systems,Rear-door heat exchanger,Boyd,BOY-CS-2389,10,225993.0,2259930.0,USD,In Production,L. Tran,Spot PO,2026-01-22,2026-08-23,2026-08-23,2026-12-26,,2026-10-30,Not Shipped,Ocean,United States,United States,ATL-01,Expeditors,Not required,DAP,Pending,2026-07-14,232,357.0,,125.0,0.924,0.55,0.492,high,False,12,Medium,ATL-01,120,80000,Phase 2 expansion,2027-02-12,2026-10-14,2027-01-21,29.5,0.33,1
PO-1427,2026-02-05,SUP-005,NVIDIA Networking,InfiniBand Switches,Quantum-2 QM9700 switch,NVIDIA Networking,NVI-IS-6966,67,44924.14,3009917.38,USD,In Production,S. Park,Capacity Reservation,2026-02-21,2026-07-21,2026-07-21,2026-11-07,,2027-01-03,Not Shipped,Ocean,Israel,United States,PHX-04,DHL Industrial Projects,Pending,DAP,Pending,2026-07-13,166,275.0,,109.0,0.929,0.593,0.436,critical,False,5,High,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-11-10,22.1,1.0,0
PO-1428,2026-03-14,SUP-005,NVIDIA Networking,InfiniBand Switches,Quantum-2 QM9700 switch,NVIDIA Networking,NVI-IS-6966,36,48679.0,1752444.0,USD,In Production,J. Marsh,Capacity Reservation,2026-03-24,2026-07-27,2026-07-27,2026-09-16,,2026-09-09,Not Shipped,Air,Israel,United States,DFW-03,Flexport,Pending,DAP,Pending,2026-07-11,135,186.0,,51.0,0.929,0.593,0.436,critical,False,7,High,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-09-18,22.1,1.0,1
PO-1429,2026-03-16,SUP-D01,WWT,GPU Servers,4U 8-GPU air-cooled server,Foxconn Industrial,FOX-GS-6957,46,248424.04,11427505.84,USD,In Production,L. Tran,Master Supply Agreement,2026-03-25,2026-08-01,2026-08-01,2026-09-18,,2026-08-06,Not Shipped,Air,Taiwan,United States,DFW-03,DB Schenker,Pending,EXW,Pending,2026-07-11,138,186.0,,48.0,0.674,0.686,0.352,critical,False,10,High,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-09-21,26.2,0.274,1
PO-1430,2026-05-08,SUP-D02,Insight Enterprises,Storage Systems,NVMe expansion shelf,Dell,DEL-SS-3454,6,183597.57,1101585.42,USD,Delivered,S. Park,Framework Agreement,2026-05-13,2026-07-13,2026-07-13,2026-07-07,2026-07-07,2026-07-15,Delivered,Truck,Mexico,United States,CBUS-02,Flexport,Cleared,DDP,Received,2026-07-14,66,60.0,60.0,-6.0,0.703,0.675,0.352,high,True,12,Medium,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-07-07,22.0,0.303,0
PO-1431,2025-05-08,SUP-004,NVIDIA,NVIDIA GPU Systems,HGX B200 baseboard,NVIDIA,NVI-NGS-5132,4,420737.45,1682949.8,USD,Delivered,M. Delgado,Master Supply Agreement,2025-05-16,2025-10-08,2025-10-08,2025-12-11,2025-12-11,2026-08-05,Delivered,Air,Taiwan,United States,RIC-05,Kuehne+Nagel,Cleared,EXW,Received,2026-07-15,153,217.0,217.0,64.0,0.907,0.591,0.416,critical,False,11,High,RIC-05,90,60000,Phase 3 expansion,2026-12-14,2026-09-14,2025-12-11,23.2,1.0,0
PO-1432,2026-03-01,SUP-013,Trane,Chillers,Air-cooled screw chiller,Trane,TRA-C-6726,3,668491.12,2005473.36,USD,In Production,K. Osei,Framework Agreement,2026-03-08,2026-10-08,2026-10-08,2026-12-14,,2026-12-08,Not Shipped,Ocean,United States,Ireland,DUB-06,Kuehne+Nagel,Not required,EXW,Pending,2026-07-11,221,288.0,,67.0,0.799,0.585,0.464,critical,False,15,High,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2027-02-07,33.5,0.393,1
PO-1433,2026-02-18,SUP-015,Vertiv,Cooling Systems,Rear-door heat exchanger,Motivair,MOT-CS-6636,24,227870.4,5468889.6,USD,In Production,J. Marsh,Framework Agreement,2026-02-25,2026-07-26,2026-07-26,2026-09-07,,2026-10-15,Not Shipped,Truck,United States,United States,CBUS-02,Flexport,Not required,FOB,Pending,2026-07-12,158,201.0,,43.0,0.864,0.595,0.443,high,True,27,Medium,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-09-11,51.9,0.315,0
PO-1434,2025-10-11,SUP-004,NVIDIA,NVIDIA GPU Systems,GB200 NVL72 rack system,NVIDIA,NVI-NGS-7164,7,317333.64,2221335.48,USD,Delivered,K. Osei,Capacity Reservation,2025-10-31,2026-04-01,2026-04-01,2026-07-01,2026-07-01,2027-02-19,Delivered,Air,Taiwan,United States,SLC-08,DHL Industrial Projects,Cleared,DAP,Received,2026-07-12,172,263.0,263.0,91.0,0.907,0.591,0.416,critical,False,13,High,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-07-01,23.2,1.0,0
PO-1435,2025-11-05,SUP-013,Trane,Chillers,Water-cooled centrifugal chiller,Carrier,CAR-C-1474,8,703879.8,5631038.4,USD,In Production,S. Park,Capacity Reservation,2025-11-15,2026-07-14,2026-07-14,2026-10-15,,2026-09-25,Not Shipped,Ocean,United States,Singapore,SIN-07,Flexport,Not required,EXW,Pending,2026-07-11,251,344.0,,93.0,0.799,0.585,0.464,critical,True,13,High,SIN-07,60,40000,Phase 2 expansion,2027-04-14,2026-11-13,2026-10-14,33.5,0.393,1
PO-1436,2025-09-22,SUP-002,Dell,Storage Systems,NVMe expansion shelf,Dell,DEL-SS-3454,4,208135.74,832542.96,USD,Delivered,J. Marsh,Framework Agreement,2025-10-06,2025-12-22,2025-12-22,2026-01-15,2026-01-15,2026-09-07,Delivered,Truck,Mexico,United States,RIC-05,Expeditors,Cleared,DDP,Received,2026-07-15,91,115.0,115.0,24.0,0.919,0.55,0.453,high,True,26,Medium,RIC-05,90,60000,Phase 3 expansion,2026-12-14,2026-09-14,2026-01-15,22.4,0.149,0
PO-1437,2026-01-19,SUP-005,NVIDIA Networking,InfiniBand Switches,NDR 400G cable set,NVIDIA Networking,NVI-IS-8634,48,47963.56,2302250.88,USD,In Production,A. Whitfield,Master Supply Agreement,2026-02-04,2026-07-06,2026-07-06,2026-09-10,,2027-02-06,Not Shipped,Air,Israel,United States,SLC-08,DHL Industrial Projects,Pending,FOB,Pending,2026-07-12,168,234.0,,66.0,0.929,0.593,0.436,critical,False,13,High,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-09-15,22.1,1.0,0
PO-1438,2026-05-23,SUP-002,Dell,GPU Servers,4U 8-GPU air-cooled server,Foxconn Industrial,FOX-GS-6957,49,273510.87,13402032.63,USD,In Production,K. Osei,Spot PO,2026-06-04,2026-08-28,2026-08-28,2026-09-23,,2026-09-27,Not Shipped,Air,Taiwan,Ireland,DUB-06,Kuehne+Nagel,Pending,FOB,Pending,2026-07-12,97,123.0,,26.0,0.919,0.55,0.453,critical,False,15,High,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2026-10-24,22.4,0.259,1
PO-1439,2025-07-23,SUP-D01,WWT,Racks,Cable management kit,Legrand,LEG-R-1456,141,10708.67,1509922.47,USD,Delivered,L. Tran,Framework Agreement,2025-07-29,2025-09-24,2025-09-24,2025-09-22,2025-09-22,2025-09-24,Delivered,Truck,Mexico,United States,CBUS-02,DB Schenker,Cleared,FOB,Received,2026-07-12,63,61.0,61.0,-2.0,0.674,0.686,0.352,low,True,51,Low,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2025-09-22,26.2,0.166,0
PO-1440,2026-07-12,SUP-D03,Graybar,UPS Systems,Static UPS 750kVA,Eaton,EAT-US-1451,3,132763.08,398289.24,USD,Ordered,A. Whitfield,Master Supply Agreement,2026-07-28,2027-01-07,2027-01-07,2027-01-07,,2027-01-23,Not Shipped,Truck,United States,Ireland,DUB-06,Expeditors,Not required,FOB,Pending,2026-07-11,179,179.0,,0.0,0.78,0.649,0.386,high,False,26,Medium,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2027-01-06,35.9,0.175,0
PO-1441,2025-12-28,SUP-D02,Insight Enterprises,Racks,Cable management kit,Rittal,RIT-R-5537,157,4139.66,649926.62,EUR,Delivered,K. Osei,Master Supply Agreement,2026-01-09,2026-03-20,2026-03-20,2026-03-15,2026-03-15,2027-02-09,Delivered,Truck,Germany,United States,PHX-04,Flexport,Cleared,FOB,Received,2026-07-13,82,77.0,77.0,-5.0,0.703,0.675,0.352,low,True,39,Low,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-03-15,22.0,0.152,0
PO-1442,2025-05-23,SUP-005,NVIDIA Networking,InfiniBand Switches,NDR 400G cable set,NVIDIA Networking,NVI-IS-8634,74,49345.6,3651574.4,USD,Delivered,M. Delgado,Master Supply Agreement,2025-05-31,2025-11-01,2025-11-01,2026-06-07,2026-06-07,2026-01-06,Delivered,Air,Israel,Singapore,SIN-07,Flexport,Cleared,EXW,Received,2026-07-14,162,380.0,380.0,218.0,0.929,0.593,0.436,critical,False,9,High,SIN-07,60,40000,Phase 2 expansion,2027-04-14,2026-11-13,2026-06-07,22.1,1.0,1
PO-1443,2025-11-09,SUP-015,Vertiv,Power Distribution Units,Overhead busway 1600A,Vertiv,VER-PDU-9983,61,10637.62,648894.82,USD,Delivered,K. Osei,Capacity Reservation,2025-11-18,2026-02-15,2026-02-15,2026-03-07,2026-03-07,2026-02-12,Delivered,Ocean,Mexico,United States,DFW-03,Kuehne+Nagel,Cleared,EXW,Received,2026-07-12,98,118.0,118.0,20.0,0.864,0.595,0.443,medium,False,24,Low,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-03-07,51.9,0.167,1
PO-1444,2025-08-14,SUP-027,MTU,Backup Generators,2.5MW gas genset,MTU,MTU-BG-5057,2,1667907.5,3335815.0,EUR,In Production,J. Marsh,Capacity Reservation,2025-08-25,2026-07-16,2026-07-16,2027-01-23,,2026-11-03,Not Shipped,Truck,Germany,Ireland,DUB-06,DHL Industrial Projects,Pending,EXW,Pending,2026-07-11,336,527.0,,191.0,0.925,0.55,0.45,critical,False,11,High,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2027-02-01,46.2,0.387,1
PO-1445,2026-05-20,SUP-D03,Graybar,Power Distribution Units,Floor PDU 400kVA,Raritan,RAR-PDU-4457,290,4255.64,1234135.6,USD,In Production,A. Whitfield,Framework Agreement,2026-05-26,2026-09-11,2026-09-11,2026-09-21,,2026-10-01,Not Shipped,Truck,Taiwan,United States,PHX-04,Expeditors,Pending,FOB,Pending,2026-07-13,114,124.0,,10.0,0.78,0.649,0.386,medium,False,34,Low,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-10-05,35.9,0.157,1
PO-1446,2026-01-23,SUP-005,NVIDIA Networking,InfiniBand Switches,NDR 400G cable set,NVIDIA Networking,NVI-IS-8634,41,47489.39,1947064.99,USD,Delivered,L. Tran,Capacity Reservation,2026-02-07,2026-05-20,2026-05-20,2026-07-13,2026-07-13,2026-07-09,Delivered,Air,Israel,United States,RIC-05,Expeditors,Cleared,FOB,Received,2026-07-13,117,171.0,171.0,54.0,0.929,0.593,0.436,critical,False,15,High,RIC-05,90,60000,Phase 3 expansion,2026-12-14,2026-09-14,2026-07-13,22.1,1.0,1
PO-1447,2026-05-12,SUP-006,Arista,Network Equipment,Top-of-rack switch,Juniper,JUN-NE-2491,74,67400.11,4987608.14,USD,In Production,S. Park,Capacity Reservation,2026-05-21,2026-07-11,2026-07-11,2026-08-02,,2026-10-03,Not Shipped,Air,United States,United States,DFW-03,Kuehne+Nagel,Not required,DAP,Pending,2026-07-13,60,82.0,,22.0,0.873,0.55,0.493,high,True,10,Medium,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-08-09,14.1,0.19,0
PO-1448,2025-11-15,SUP-D03,Graybar,Power Distribution Units,Floor PDU 400kVA,Raritan,RAR-PDU-4457,127,4422.78,561693.06,USD,Delivered,A. Whitfield,Master Supply Agreement,2025-11-20,2026-03-07,2026-03-07,2026-03-06,2026-03-06,2026-10-07,Delivered,Truck,Taiwan,United States,DFW-03,DB Schenker,Cleared,EXW,Received,2026-07-14,112,111.0,111.0,-1.0,0.78,0.649,0.386,medium,True,28,Low,DFW-03,150,100000,Phase 1 build,2027-03-15,2026-10-14,2026-03-06,35.9,0.157,0
PO-1449,2026-04-08,SUP-015,Vertiv,Racks,Seismic rack enclosure,Legrand,LEG-R-1930,78,6350.61,495347.58,USD,Shipped,A. Whitfield,Framework Agreement,2026-04-19,2026-06-21,2026-06-21,2026-07-14,,2027-01-23,Customs,Ocean,Mexico,Ireland,DUB-06,Kuehne+Nagel,In clearance,DDP,Pending,2026-07-14,74,97.0,,23.0,0.864,0.595,0.443,low,True,35,Low,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2026-07-22,51.9,0.186,0
PO-1450,2025-07-04,SUP-D02,Insight Enterprises,Power Distribution Units,Floor PDU 400kVA,Vertiv,VER-PDU-3281,174,27711.24,4821755.76,USD,Delivered,S. Park,Spot PO,2025-07-15,2025-11-11,2025-11-11,2025-11-11,2025-11-11,2025-11-06,Delivered,Truck,Mexico,United States,PHX-04,DHL Industrial Projects,Cleared,DAP,Received,2026-07-14,130,130.0,130.0,0.0,0.703,0.675,0.352,medium,False,45,Low,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2025-11-11,22.0,0.213,1
PO-1451,2025-04-29,SUP-016,Motivair,Cooling Systems,Rear-door heat exchanger,Vertiv,VER-CS-1031,21,139999.76,2939994.96,USD,Delivered,M. Delgado,Framework Agreement,2025-05-04,2025-10-18,2025-10-18,2026-02-17,2026-02-17,2027-03-15,Delivered,Ocean,Mexico,United States,SLC-08,Flexport,Cleared,DAP,Received,2026-07-12,172,294.0,294.0,122.0,0.956,0.55,0.485,high,True,10,Medium,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-02-17,25.9,0.355,0
PO-1452,2025-08-31,SUP-011,Hyundai Electric,Transformers,Substation transformer,ABB,ABB-T-7564,2,1556311.12,3112622.24,USD,In Production,M. Delgado,Spot PO,2025-09-19,2026-12-02,2026-12-02,2027-03-12,,2026-12-18,Not Shipped,Ocean,South Korea,United States,PHX-04,DHL Industrial Projects,Pending,CIF,Pending,2026-07-14,458,558.0,,100.0,0.91,0.55,0.49,critical,False,11,High,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2027-05-03,51.2,0.319,1
PO-1453,2026-04-27,SUP-017,Boyd,Cooling Systems,Rear-door heat exchanger,Motivair,MOT-CS-6636,15,231397.93,3470968.95,USD,In Production,M. Delgado,Spot PO,2026-05-06,2026-09-26,2026-09-26,2026-11-25,,2027-02-08,Not Shipped,Truck,United States,United States,PHX-04,Kuehne+Nagel,Not required,CIF,Pending,2026-07-11,152,212.0,,60.0,0.924,0.55,0.492,high,True,12,Medium,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2027-01-20,29.5,0.33,0
PO-1454,2025-08-18,SUP-023,Rittal,Racks,Cable management kit,Vertiv,VER-R-2601,200,9223.0,1844600.0,USD,Delivered,A. Whitfield,Framework Agreement,2025-09-01,2025-11-12,2025-11-12,2025-11-08,2025-11-08,2025-12-05,Delivered,Truck,Mexico,United States,PHX-04,Flexport,Cleared,DDP,Received,2026-07-13,86,82.0,82.0,-4.0,0.604,0.712,0.316,low,True,59,Low,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2025-11-08,12.1,0.272,0
PO-1455,2026-04-11,SUP-006,Arista,Network Equipment,800G data center switch,Juniper,JUN-NE-5337,19,53259.07,1011922.33,USD,Delivered,L. Tran,Spot PO,2026-04-21,2026-06-15,2026-06-15,2026-07-13,2026-07-13,2026-06-22,Delivered,Air,United States,United States,SLC-08,DB Schenker,Not required,CIF,Received,2026-07-14,65,93.0,93.0,28.0,0.873,0.55,0.493,high,False,30,Medium,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2026-07-13,14.1,0.19,1
PO-1456,2025-08-04,SUP-010,Siemens Energy,Transformers,Substation transformer,Siemens Energy,SIE-T-4714,1,671402.72,671402.72,EUR,In Production,J. Marsh,Spot PO,2025-08-09,2026-08-22,2026-08-22,2027-06-16,,2026-10-18,Not Shipped,Ocean,Germany,United States,CBUS-02,Expeditors,Pending,DDP,Pending,2026-07-15,383,681.0,,298.0,0.935,0.55,0.466,critical,True,10,High,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2027-07-16,45.1,0.424,1
PO-1457,2026-05-09,SUP-024,Legrand,Racks,Cable management kit,Legrand,LEG-R-1456,32,11668.75,373400.0,USD,In Production,M. Delgado,Capacity Reservation,2026-05-22,2026-07-07,2026-07-07,2026-08-02,,2026-07-07,Not Shipped,Truck,Mexico,United States,PHX-04,DB Schenker,Pending,EXW,Pending,2026-07-13,59,85.0,,26.0,0.826,0.639,0.374,low,False,47,Low,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-07-26,9.9,0.224,1
PO-1458,2026-01-01,SUP-D01,WWT,Storage Systems,NVMe expansion shelf,Dell,DEL-SS-3454,3,207503.11,622509.33,USD,Delivered,J. Marsh,Spot PO,2026-01-07,2026-03-14,2026-03-14,2026-03-11,2026-03-11,2026-11-09,Delivered,Air,Mexico,United States,CBUS-02,Flexport,Cleared,DAP,Received,2026-07-15,72,69.0,69.0,-3.0,0.674,0.686,0.352,high,True,26,Medium,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-03-11,26.2,0.213,0
PO-1459,2026-06-24,SUP-023,Rittal,Racks,Seismic rack enclosure,Rittal,RIT-R-9695,50,8616.54,430827.0,EUR,In Production,A. Whitfield,Master Supply Agreement,2026-07-13,2026-08-20,2026-08-20,2026-08-21,,2026-09-13,Not Shipped,Ocean,Germany,United States,ATL-01,Kuehne+Nagel,Pending,FOB,Pending,2026-07-13,57,58.0,,1.0,0.604,0.712,0.316,low,True,60,Low,ATL-01,120,80000,Phase 2 expansion,2027-02-12,2026-10-14,2026-09-01,12.1,0.272,0
PO-1460,2025-07-01,SUP-003,Foxconn Industrial,GPU Servers,4U 8-GPU air-cooled server,Supermicro,SUP-GS-2677,46,180732.67,8313702.82,USD,Delivered,L. Tran,Master Supply Agreement,2025-07-20,2025-10-16,2025-10-16,2025-10-15,2025-10-15,2027-01-25,Delivered,Air,Taiwan,United States,SLC-08,Kuehne+Nagel,Cleared,DDP,Received,2026-07-11,107,106.0,106.0,-1.0,0.864,0.567,0.437,critical,False,16,High,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2025-10-15,18.8,0.23,0
PO-1461,2025-09-11,SUP-004,NVIDIA,NVIDIA GPU Systems,HGX B200 baseboard,NVIDIA,NVI-NGS-5132,7,445948.63,3121640.41,USD,Delivered,K. Osei,Framework Agreement,2025-09-28,2026-01-29,2026-01-29,2026-03-13,2026-03-13,2026-11-08,Delivered,Air,Taiwan,Ireland,DUB-06,Expeditors,Cleared,CIF,Received,2026-07-14,140,183.0,183.0,43.0,0.907,0.591,0.416,critical,False,19,High,DUB-06,100,70000,Phase 1 build,2027-06-14,2026-12-14,2026-03-13,23.2,1.0,0
PO-1462,2025-10-26,SUP-027,MTU,Backup Generators,3MW diesel genset,MTU,MTU-BG-4267,2,1792647.04,3585294.08,EUR,In Production,L. Tran,Master Supply Agreement,2025-11-06,2026-07-22,2026-07-22,2027-01-31,,2026-09-02,Not Shipped,Truck,Germany,United States,CBUS-02,DHL Industrial Projects,Pending,DAP,Pending,2026-07-12,269,462.0,,193.0,0.925,0.55,0.45,critical,False,20,High,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2027-02-07,46.2,0.387,1
PO-1463,2026-05-27,SUP-020,Raritan,Power Distribution Units,Overhead busway 1600A,Schneider Electric,SCH-PDU-1233,151,50179.58,7577116.58,USD,Cancelled,K. Osei,Capacity Reservation,2026-06-11,2026-09-30,2026-09-30,,,2026-10-30,Not Shipped,Ocean,Mexico,United States,RIC-05,Flexport,N/A,EXW,N/A,2026-07-13,126,,,,0.696,0.688,0.314,medium,True,45,Low,RIC-05,90,60000,Phase 3 expansion,2026-12-14,2026-09-14,2026-10-19,24.5,0.325,0
PO-1464,2026-06-05,SUP-004,NVIDIA,NVIDIA GPU Systems,DGX B200 system,NVIDIA,NVI-NGS-2152,4,449937.38,1799749.52,USD,In Production,S. Park,Capacity Reservation,2026-06-25,2026-12-03,2026-12-03,2027-01-26,,2026-12-31,Not Shipped,Air,Taiwan,United States,PHX-04,Flexport,Pending,EXW,Pending,2026-07-15,181,235.0,,54.0,0.907,0.591,0.416,critical,False,20,High,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2027-08-15,23.2,1.0,1
PO-1465,2026-05-01,SUP-002,Dell,GPU Servers,HGX H200 8-GPU server,Foxconn Industrial,FOX-GS-7560,18,192188.59,3459394.62,USD,In Production,K. Osei,Master Supply Agreement,2026-05-16,2026-07-27,2026-07-27,2026-08-18,,2026-07-28,Not Shipped,Truck,Taiwan,United States,PHX-04,Kuehne+Nagel,Pending,DDP,Pending,2026-07-13,87,109.0,,22.0,0.919,0.55,0.453,critical,True,13,High,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-09-01,22.4,0.259,1
PO-1466,2025-11-20,SUP-020,Raritan,Power Distribution Units,Overhead busway 1600A,Vertiv,VER-PDU-9983,146,11209.2,1636543.2,USD,Delivered,J. Marsh,Master Supply Agreement,2025-11-29,2026-04-11,2026-04-11,2026-04-09,2026-04-09,2027-02-13,Delivered,Ocean,Mexico,United States,PHX-04,Expeditors,Cleared,DDP,Received,2026-07-14,142,140.0,140.0,-2.0,0.696,0.688,0.314,medium,True,26,Low,PHX-04,250,180000,Greenfield,2027-09-13,2027-01-13,2026-04-09,24.5,0.325,0
PO-1467,2025-05-24,SUP-027,MTU,Backup Generators,3MW diesel genset,Cummins,CUM-BG-9282,2,1615738.14,3231476.28,USD,In Production,A. Whitfield,Spot PO,2025-05-30,2026-07-07,2026-07-07,2027-06-23,,2027-02-15,Not Shipped,Ocean,United States,United States,SLC-08,Flexport,Not required,DAP,Pending,2026-07-12,409,760.0,,351.0,0.925,0.55,0.45,critical,False,11,High,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2027-06-21,46.2,0.387,1
PO-1468,2025-05-23,SUP-D01,WWT,GPU Servers,MGX GPU server,Dell,DEL-GS-8219,20,205305.0,4106100.0,USD,Delivered,M. Delgado,Spot PO,2025-05-29,2025-09-07,2025-09-07,2025-09-30,2025-09-30,2027-01-25,Delivered,Air,Mexico,United States,SLC-08,DHL Industrial Projects,Cleared,CIF,Received,2026-07-13,107,130.0,130.0,23.0,0.674,0.686,0.352,critical,True,15,High,SLC-08,180,130000,Greenfield,2027-11-13,2027-02-13,2025-09-30,26.2,0.274,0
PO-1469,2025-07-08,SUP-004,NVIDIA,NVIDIA GPU Systems,DGX B200 system,NVIDIA,NVI-NGS-2152,9,426528.58,3838757.22,USD,Delivered,S. Park,Capacity Reservation,2025-07-26,2025-11-07,2025-11-07,2026-02-22,2026-02-22,2025-12-08,Delivered,Air,Taiwan,United States,CBUS-02,Kuehne+Nagel,Cleared,FOB,Received,2026-07-13,122,229.0,229.0,107.0,0.907,0.591,0.416,critical,False,19,High,CBUS-02,200,150000,Phase 1 build,2027-05-15,2026-11-14,2026-02-22,23.2,1.0,1
